source_stage,source_dir,source_csv,candidate_count,status,runtime_seconds,std,min,max,count,budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
stage14_candidate_runtime,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,runtime_candidate_sensitivity.csv,50,success,5.0,,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage14_candidate_runtime,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,runtime_candidate_sensitivity.csv,100,success,7.0,,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage14_candidate_runtime,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,runtime_candidate_sensitivity.csv,200,success,10.0,,10.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage14_candidate_runtime,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,runtime_candidate_sensitivity.csv,500,success,20.0,,20.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,coverage,1.0,0.0,1.6608396977214233,,,,304.99176202041605,,,,142.6528982707108,,,,1283.125553476915,,,,0.0386308099006583,,,,0.2664443214055274,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,degree,1.0,0.0,1.9442593236655783,,,,345.52830860088835,,,,160.25295956407146,,,,1652.5023737186611,,,,0.1400114568053675,,,,0.5948955626696992,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,graph_sampling_laplacian,1.0,0.0,1.8905460734058448,,,,361.892034021624,,,,189.9766055760545,,,,2601.7514843157023,,,,0.12752723721967,,,,0.5326479901476092,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,greedy_a_trace,1.0,0.0,1.6937831905509315,,,,252.7847156076752,,,,127.93720059302235,,,,827.4429067049239,,,,0.0354842330684903,,,,0.3046220978223284,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,greedy_d_logdet,1.0,0.0,2.049730728816465,,,,285.7083645759104,,,,130.15655740475833,,,,2495.738821564474,,,,0.0488947808357289,,,,0.7171249736509656,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,observability_proxy,1.0,0.0,1.9750809588187843,,,,323.406824960629,,,,138.67938259812132,,,,1179.8674565198696,,,,0.0943473331035828,,,,0.6306143463994351,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,qr_pod_modes,1.0,0.0,1.758454154410067,,,,263.6475437773701,,,,132.01725248680674,,,,1773.0013468841526,,,,0.0392139755989688,,,,0.3795684191383716,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,quality_coverage_sample,50.0,1.0,1.781884270710803,0.1504325886222237,1.430925663549873,,301.2741859574552,7.345027430566828,304.01942905068114,,149.45587507772655,5.906961223934599,150.3977973796186,,960.6395403630294,145.97893284293082,835.27354564114,,0.0363552455713059,0.0015971626495365,0.0351557354497315,,0.4067212698144816,0.1743343295121261,0.0,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,random_validation_pool,1.0,0.0,1.845603867247324,,,,298.0663033898392,,,,157.24208111772674,,,,952.3178554884752,,,,0.0516706535936638,,,,0.480565064172591,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,robust_coverage_cvar,1.0,0.0,1.7775258438481418,,,,298.003453056908,,,,98.9767982826777,,,,1813.7505428719653,,,,0.0343505390681221,,,,0.4016703467944851,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,scenario_average_a_trace,1.0,0.0,1.6934172399234813,,,,292.53286056369166,,,,97.83378840953674,,,,1531.9146289322157,,,,0.0420193875423524,,,,0.3041980024992645,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,swap_from_best_random_trace,1.0,0.0,1.8027483168724368,,,,254.8004431919955,,,,131.20011020042307,,,,804.9061278300937,,,,0.0358962592262875,,,,0.4309003358786359,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,swap_from_greedy_a_trace,1.0,0.0,1.6945666145278435,,,,249.30639316256529,,,,128.6137373251994,,,,854.5465569043888,,,,0.0352305114220355,,,,0.3055299974668775,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,swap_from_scenario_average,1.0,0.0,1.660979192744742,,,,252.41486419917692,,,,123.28774714710848,,,,905.6860558428216,,,,0.0372437753483098,,,,0.2666059803358381,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,top_variance,1.0,0.0,1.6241105577584194,,,,365.34597494398486,,,,178.4729537491104,,,,1514.6376830720258,,,,0.060086035112792,,,,0.2238794087914971,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,50,,,,,,,0.2,validation_swap,1.0,0.0,1.4217926178932505,,,,304.27380150230886,,,,152.11719969545038,,,,833.3281065452192,,,,0.0356240200732564,,,,0.0,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,coverage,1.0,0.0,1.6608396977214233,,,,304.99176202041605,,,,142.6528982707108,,,,1283.125553476915,,,,0.0386308099006583,,,,0.2227206090554349,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,degree,1.0,0.0,1.9442593236655783,,,,345.52830860088835,,,,160.25295956407146,,,,1652.5023737186611,,,,0.1400114568053675,,,,0.6248879155564037,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,graph_sampling_laplacian,1.0,0.0,1.8905460734058448,,,,361.892034021624,,,,189.9766055760545,,,,2601.7514843157023,,,,0.12752723721967,,,,0.5486697880770255,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,greedy_a_trace,1.0,0.0,1.6937831905509315,,,,252.7847156076752,,,,127.93720059302235,,,,827.4429067049239,,,,0.0354842330684903,,,,0.2694668276133122,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,greedy_d_logdet,1.0,0.0,2.049730728816465,,,,285.7083645759104,,,,130.15655740475833,,,,2495.738821564474,,,,0.0488947808357289,,,,0.7745499256627968,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,observability_proxy,1.0,0.0,1.9750809588187843,,,,323.406824960629,,,,138.67938259812132,,,,1179.8674565198696,,,,0.0943473331035828,,,,0.6686232565731999,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,qr_pod_modes,1.0,0.0,1.758454154410067,,,,263.6475437773701,,,,132.01725248680674,,,,1773.0013468841526,,,,0.0392139755989688,,,,0.3612337518600286,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,quality_coverage_sample,100.0,1.0,1.766802337682671,0.1293422391154307,1.503881658894879,,300.6623909545141,7.08098083064024,295.19993839751453,,149.6727802971513,7.839031094126471,144.35387661181346,,942.4269669860194,121.59105462953636,799.2363312845116,,0.036295347818197,0.001570491417441,0.0338948431684333,,0.3730796724441622,0.1835342903603522,0.0,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,random_validation_pool,1.0,0.0,1.910916474244284,,,,295.44772229476075,,,,148.16105381092746,,,,843.2640938008557,,,,0.0445706492292109,,,,0.5775750172411974,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,robust_coverage_cvar,1.0,0.0,1.7775258438481418,,,,298.003453056908,,,,98.9767982826777,,,,1813.7505428719653,,,,0.0343505390681221,,,,0.3882961331125,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,scenario_average_a_trace,1.0,0.0,1.6934172399234813,,,,292.53286056369166,,,,97.83378840953674,,,,1531.9146289322157,,,,0.0420193875423524,,,,0.268947550313218,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,swap_from_best_random_trace,1.0,0.0,1.7091314295973148,,,,252.6225684005317,,,,129.90428457371115,,,,753.0355052712525,,,,0.035470715366266,,,,0.2912457003228302,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,swap_from_greedy_a_trace,1.0,0.0,1.6945666145278435,,,,249.30639316256529,,,,128.6137373251994,,,,854.5465569043888,,,,0.0352305114220355,,,,0.2705784920211438,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,swap_from_scenario_average,1.0,0.0,1.660979192744742,,,,252.41486419917692,,,,123.28774714710848,,,,905.6860558428216,,,,0.0372437753483098,,,,0.2229185499623551,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,top_variance,1.0,0.0,1.6241105577584194,,,,365.34597494398486,,,,178.4729537491104,,,,1514.6376830720258,,,,0.060086035112792,,,,0.1706026259065585,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,validation_swap,1.0,0.0,1.487877123022902,,,,295.9074108890037,,,,143.95559778844648,,,,884.4872048505412,,,,0.0348726239525584,,,,0.0,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,coverage,1.0,0.0,1.6608396977214233,,,,304.99176202041605,,,,142.6528982707108,,,,1283.125553476915,,,,0.0386308099006583,,,,0.1838399960876274,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,degree,1.0,0.0,1.9442593236655783,,,,345.52830860088835,,,,160.25295956407146,,,,1652.5023737186611,,,,0.1400114568053675,,,,0.4552947783415726,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,graph_sampling_laplacian,1.0,0.0,1.8905460734058448,,,,361.892034021624,,,,189.9766055760545,,,,2601.7514843157023,,,,0.12752723721967,,,,0.4038490867990946,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,greedy_a_trace,1.0,0.0,1.6937831905509315,,,,252.7847156076752,,,,127.93720059302235,,,,827.4429067049239,,,,0.0354842330684903,,,,0.2153927463353489,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,greedy_d_logdet,1.0,0.0,2.049730728816465,,,,285.7083645759104,,,,130.15655740475833,,,,2495.738821564474,,,,0.0488947808357289,,,,0.5563136023692807,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,observability_proxy,1.0,0.0,1.9750809588187843,,,,323.406824960629,,,,138.67938259812132,,,,1179.8674565198696,,,,0.0943473331035828,,,,0.4848152472623546,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,qr_pod_modes,1.0,0.0,1.758454154410067,,,,263.6475437773701,,,,132.01725248680674,,,,1773.0013468841526,,,,0.0392139755989688,,,,0.2773335606104811,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,quality_coverage_sample,200.0,1.0,1.7633432610754292,0.1333581432918267,1.468896632684583,,301.42402299040566,6.675762904324778,297.85234484932505,,151.56594901418364,7.252534642242386,140.69426788067506,,958.8758270754244,129.97597586707644,920.5060219593043,,0.0363520855029535,0.0015193032667665,0.0373134729700724,,0.2820162687357247,0.1277282955563782,0.0,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,random_validation_pool,1.0,0.0,1.5975972384658796,,,,295.04843389265835,,,,134.9282144444685,,,,880.642927620295,,,,0.0377877241948732,,,,0.1232673806619043,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,robust_coverage_cvar,1.0,0.0,1.7775258438481418,,,,298.003453056908,,,,98.9767982826777,,,,1813.7505428719653,,,,0.0343505390681221,,,,0.2956001195560058,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,scenario_average_a_trace,1.0,0.0,1.6934172399234813,,,,292.53286056369166,,,,97.83378840953674,,,,1531.9146289322157,,,,0.0420193875423524,,,,0.2150422446805701,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,swap_from_best_random_trace,1.0,0.0,1.6329961533772477,,,,251.8166474426804,,,,126.76022424515114,,,,785.0395960248055,,,,0.0347507871763342,,,,0.1571718948862818,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,swap_from_greedy_a_trace,1.0,0.0,1.6945666145278435,,,,249.30639316256529,,,,128.6137373251994,,,,854.5465569043888,,,,0.0352305114220355,,,,0.2161430972835472,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,swap_from_scenario_average,1.0,0.0,1.660979192744742,,,,252.41486419917692,,,,123.28774714710848,,,,905.6860558428216,,,,0.0372437753483098,,,,0.1839736021886669,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,top_variance,1.0,0.0,1.6241105577584194,,,,365.34597494398486,,,,178.4729537491104,,,,1514.6376830720258,,,,0.060086035112792,,,,0.1486614135959674,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,validation_swap,1.0,0.0,1.4481616447204622,,,,300.70755782596694,,,,144.2748102717515,,,,958.5517954953168,,,,0.0371584538227999,,,,0.0,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,coverage,1.0,0.0,1.6608396977214233,,,,304.99176202041605,,,,142.6528982707108,,,,1283.125553476915,,,,0.0386308099006583,,,,0.1998366197684489,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,degree,1.0,0.0,1.9442593236655783,,,,345.52830860088835,,,,160.25295956407146,,,,1652.5023737186611,,,,0.1400114568053675,,,,0.4549666676615921,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,graph_sampling_laplacian,1.0,0.0,1.8905460734058448,,,,361.892034021624,,,,189.9766055760545,,,,2601.7514843157023,,,,0.12752723721967,,,,0.4066148145899835,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,greedy_a_trace,1.0,0.0,1.6937831905509315,,,,252.7847156076752,,,,127.93720059302235,,,,827.4429067049239,,,,0.0354842330684903,,,,0.2294918522717052,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,greedy_d_logdet,1.0,0.0,2.049730728816465,,,,285.7083645759104,,,,130.15655740475833,,,,2495.738821564474,,,,0.0488947808357289,,,,0.5499104266121626,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,observability_proxy,1.0,0.0,1.9750809588187843,,,,323.406824960629,,,,138.67938259812132,,,,1179.8674565198696,,,,0.0943473331035828,,,,0.4827118360725188,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,qr_pod_modes,1.0,0.0,1.758454154410067,,,,263.6475437773701,,,,132.01725248680674,,,,1773.0013468841526,,,,0.0392139755989688,,,,0.2877076729006125,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,quality_coverage_sample,500.0,1.0,1.7798244254386824,0.1385606846033917,1.4388445995648946,,301.654672940754,7.094953128584519,301.93495447304394,,150.51994783272238,7.461652292361686,144.9621012372474,,972.2006038149966,143.87946743305196,885.1334934994713,,0.0364346454491726,0.0015470788527756,0.0362824844154275,,0.3069448667006439,0.1247302263603141,0.0,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,random_validation_pool,1.0,0.0,1.7243120596173316,,,,301.09583144997646,,,,153.77636950807923,,,,928.0279468744644,,,,0.0440763406046391,,,,0.2569734770924537,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,robust_coverage_cvar,1.0,0.0,1.7775258438481418,,,,298.003453056908,,,,98.9767982826777,,,,1813.7505428719653,,,,0.0343505390681221,,,,0.3048757184215602,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,scenario_average_a_trace,1.0,0.0,1.6934172399234813,,,,292.53286056369166,,,,97.83378840953674,,,,1531.9146289322157,,,,0.0420193875423524,,,,0.2291624290682242,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,swap_from_best_random_trace,1.0,0.0,1.707632855214292,,,,253.47487172899423,,,,130.52544143068607,,,,858.3517710144625,,,,0.0360075397825394,,,,0.24195911030684,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,swap_from_greedy_a_trace,1.0,0.0,1.6945666145278435,,,,249.30639316256529,,,,128.6137373251994,,,,854.5465569043888,,,,0.0352305114220355,,,,0.2301970786514395,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,swap_from_scenario_average,1.0,0.0,1.660979192744742,,,,252.41486419917692,,,,123.28774714710848,,,,905.6860558428216,,,,0.0372437753483098,,,,0.1999621910723471,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,top_variance,1.0,0.0,1.6241105577584194,,,,365.34597494398486,,,,178.4729537491104,,,,1514.6376830720258,,,,0.060086035112792,,,,0.1667736051426321,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,500,,,,,,,0.2,validation_swap,1.0,0.0,1.424743843115637,,,,302.0220505450101,,,,146.07464538821682,,,,885.113522362208,,,,0.0371942495516312,,,,0.0,,,
