method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,candidate_count
historical_tod_mean,4.083353746947497,7.016719986744287,0.0955258063602236,PeMS7_228,0.2,46,182,random,0,25,2151,,,,,100
neighbor_average,7.365731837606837,11.227121707396286,0.185998935169155,PeMS7_228,0.2,46,182,random,0,25,2151,,,,,100
gsp,3.7910322574321698,6.626441080773429,0.0933603309842644,PeMS7_228,0.2,46,182,random,0,25,2151,,16.41986455586875,97.16902595833147,662.9630129178073,100
gls_map,3.511155432978843,6.162437126001347,0.0856594874949776,PeMS7_228,0.2,46,182,random,0,25,2151,,295.44772229476075,843.2640938008557,133.37373724372682,100
historical_tod_mean,3.967406755570818,6.754920200116124,0.0915350906583519,PeMS7_228,0.2,46,182,random,1,25,2151,,,,,100
neighbor_average,7.24517163970289,11.343124036238384,0.17923827541277,PeMS7_228,0.2,46,182,random,1,25,2151,,,,,100
gsp,3.701114748676748,6.396630162508281,0.0882768036892037,PeMS7_228,0.2,46,182,random,1,25,2151,,16.412038190140144,97.4653599562982,663.0508891208661,100
gls_map,3.375079283856093,5.7331678048503685,0.0799173291115624,PeMS7_228,0.2,46,182,random,1,25,2151,,287.7623947949597,766.12571544336,134.19787483949665,100
historical_tod_mean,4.049954164758852,6.9528465410485465,0.0935754265994801,PeMS7_228,0.2,46,182,random,2,25,2151,,,,,100
neighbor_average,7.56946097883598,11.8598961499898,0.1872326685536487,PeMS7_228,0.2,46,182,random,2,25,2151,,,,,100
gsp,3.781025761749836,6.567631657540315,0.0902689299412473,PeMS7_228,0.2,46,182,random,2,25,2151,,16.423186676848594,97.36200361403344,662.91913991645,100
gls_map,3.5790825700683424,6.12247220806206,0.0844474935719872,PeMS7_228,0.2,46,182,random,2,25,2151,,306.63213463284933,1070.7735694868854,132.7101748067518,100
historical_tod_mean,4.100944797390111,7.046945320385312,0.0948254704573746,PeMS7_228,0.2,46,182,random,3,25,2151,,,,,100
neighbor_average,7.248850223850223,11.187861629554144,0.1758319365404443,PeMS7_228,0.2,46,182,random,3,25,2151,,,,,100
gsp,3.860186976679836,6.664647042404727,0.0932644121741367,PeMS7_228,0.2,46,182,random,3,25,2151,,16.412469945413953,95.36481688758356,663.0589569169058,100
gls_map,3.558743281197838,6.084398012086504,0.0846120733601049,PeMS7_228,0.2,46,182,random,3,25,2151,,304.6443834819245,902.833828458494,130.87728098406524,100
historical_tod_mean,3.993531269078144,6.912973409736912,0.0920962095224167,PeMS7_228,0.2,46,182,random,4,25,2151,,,,,100
neighbor_average,7.359971827940578,11.324672252208732,0.1777637144900959,PeMS7_228,0.2,46,182,random,4,25,2151,,,,,100
gsp,3.788265470142627,6.564303908883226,0.0889427245359386,PeMS7_228,0.2,46,182,random,4,25,2151,,16.423606726268687,96.16685406338652,662.9148442240671,100
gls_map,3.392360544614392,5.994782750305064,0.0795418642727687,PeMS7_228,0.2,46,182,random,4,25,2151,,297.2178494866622,789.1930063272366,130.99055463623145,100
historical_tod_mean,4.040411229395604,6.961556884812723,0.0935587414395684,PeMS7_228,0.2,46,182,random,5,25,2151,,,,,100
neighbor_average,7.357758763227513,11.590508475852948,0.19015489202718,PeMS7_228,0.2,46,182,random,5,25,2151,,,,,100
gsp,3.772457840362976,6.575406547944416,0.0907560693288315,PeMS7_228,0.2,46,182,random,5,25,2151,,16.418463891899055,95.34447405535911,662.9750740205533,100
gls_map,3.383631269185334,5.914998337909496,0.0817111365268182,PeMS7_228,0.2,46,182,random,5,25,2151,,294.01639604299464,844.58966482975,131.67583735726163,100
historical_tod_mean,3.997654389880952,6.874871382838224,0.0911408943734511,PeMS7_228,0.2,46,182,random,6,25,2151,,,,,100
neighbor_average,6.999979967948717,10.878124474649198,0.1775732213973544,PeMS7_228,0.2,46,182,random,6,25,2151,,,,,100
gsp,3.758098819659984,6.499433717040088,0.0887263389566879,PeMS7_228,0.2,46,182,random,6,25,2151,,16.41566175393828,97.29112274091295,663.026575392611,100
gls_map,3.4506282851847976,5.969592507582599,0.0804635824553405,PeMS7_228,0.2,46,182,random,6,25,2151,,296.3995629503981,806.7949270029118,133.1229855084627,100
historical_tod_mean,4.004308178800367,6.891715980398533,0.0921181531142584,PeMS7_228,0.2,46,182,random,7,25,2151,,,,,100
neighbor_average,7.278934867216116,11.312704345806928,0.1803754836776104,PeMS7_228,0.2,46,182,random,7,25,2151,,,,,100
gsp,3.7391452653137778,6.52664896012201,0.0887688752490955,PeMS7_228,0.2,46,182,random,7,25,2151,,16.419759353956003,96.82112587428227,662.9682243714205,100
gls_map,3.500501138619454,6.02623485831896,0.0822045490846626,PeMS7_228,0.2,46,182,random,7,25,2151,,301.95104897341764,1373.4762617391525,131.96537670431758,100
historical_tod_mean,3.950830853174603,6.794781252975265,0.0910171790098594,PeMS7_228,0.2,46,182,random,8,25,2151,,,,,100
neighbor_average,7.179135505698004,11.064871166134052,0.1765045133522326,PeMS7_228,0.2,46,182,random,8,25,2151,,,,,100
gsp,3.788935964810465,6.48152065671163,0.0898887479947206,PeMS7_228,0.2,46,182,random,8,25,2151,,16.421589652400797,93.5921088363496,662.9723549168666,100
gls_map,3.4419543575511318,5.889000823902095,0.0818454607786991,PeMS7_228,0.2,46,182,random,8,25,2151,,304.6276388429532,1020.4846085063084,129.69762049697667,100
historical_tod_mean,4.054225665827228,7.016065467972057,0.0962129490558779,PeMS7_228,0.2,46,182,random,9,25,2151,,,,,100
neighbor_average,7.208888825295076,11.091091250042002,0.1908232639313702,PeMS7_228,0.2,46,182,random,9,25,2151,,,,,100
gsp,3.79763549747769,6.664505879056855,0.0951417105830647,PeMS7_228,0.2,46,182,random,9,25,2151,,16.41329087311096,94.4026797492936,663.0653484233763,100
gls_map,3.5159073604118456,6.08957838229728,0.0872528856656682,PeMS7_228,0.2,46,182,random,9,25,2151,,297.1344393927501,922.5167753249611,132.49965028450674,100
historical_tod_mean,4.011804840125152,6.95514691189303,0.0939414437594776,PeMS7_228,0.2,46,182,random,10,25,2151,,,,,100
neighbor_average,7.133470695970696,11.08935373877171,0.1862409035052891,PeMS7_228,0.2,46,182,random,10,25,2151,,,,,100
gsp,3.773481482326305,6.580071990981515,0.0905681473378948,PeMS7_228,0.2,46,182,random,10,25,2151,,16.423260648583508,96.95181207291526,662.9109889589234,100
gls_map,3.4815501065782906,6.029474002033231,0.0835017138033043,PeMS7_228,0.2,46,182,random,10,25,2151,,287.6878523084463,788.2942323905979,134.05039894714363,100
historical_tod_mean,4.055274057539683,6.950323517381436,0.0931722455784077,PeMS7_228,0.2,46,182,random,11,25,2151,,,,,100
neighbor_average,7.03600490944241,11.169424421152774,0.1802820669991355,PeMS7_228,0.2,46,182,random,11,25,2151,,,,,100
gsp,3.846508792334405,6.60545697967564,0.0899065416382812,PeMS7_228,0.2,46,182,random,11,25,2151,,16.40927436066873,97.3016056095255,663.1014717740136,100
gls_map,3.5453133058384565,6.078872942792615,0.0827491589637902,PeMS7_228,0.2,46,182,random,11,25,2151,,295.4388232798583,885.4320194019796,132.8639219198566,100
historical_tod_mean,3.885419099130037,6.719508897735503,0.0907372543326576,PeMS7_228,0.2,46,182,random,12,25,2151,,,,,100
neighbor_average,7.052896380240129,10.934836330398308,0.1664683909490759,PeMS7_228,0.2,46,182,random,12,25,2151,,,,,100
gsp,3.5953393109048943,6.354913090219501,0.0886139774841054,PeMS7_228,0.2,46,182,random,12,25,2151,,16.423325367229577,97.1679261299279,662.921925028511,100
gls_map,3.289166076819552,5.73421898208229,0.0789450832859394,PeMS7_228,0.2,46,182,random,12,25,2151,,310.27929168652315,966.2412744393396,129.13630084822267,100
historical_tod_mean,4.04340096535409,7.009236536700976,0.0949221904569655,PeMS7_228,0.2,46,182,random,13,25,2151,,,,,100
neighbor_average,7.168393874643874,11.066445084063927,0.1823052283944523,PeMS7_228,0.2,46,182,random,13,25,2151,,,,,100
gsp,3.771711707391757,6.652293984064714,0.0939388149221434,PeMS7_228,0.2,46,182,random,13,25,2151,,16.418252947880024,95.3429461423332,663.0047989173316,100
gls_map,3.4146654861612085,6.004107884368985,0.0836675947098962,PeMS7_228,0.2,46,182,random,13,25,2151,,307.09383882983445,887.4444026175781,130.09413677372834,100
historical_tod_mean,4.035988200167887,6.962579544711354,0.0919248419290012,PeMS7_228,0.2,46,182,random,14,25,2151,,,,,100
neighbor_average,7.328069991351242,11.2916110648863,0.1801046513950738,PeMS7_228,0.2,46,182,random,14,25,2151,,,,,100
gsp,3.778082891343289,6.568664584660794,0.0879609359783515,PeMS7_228,0.2,46,182,random,14,25,2151,,16.412055444063352,96.25548308209436,663.0616095958587,100
gls_map,3.400133081410829,5.894977239077111,0.0785219853238237,PeMS7_228,0.2,46,182,random,14,25,2151,,302.7874279237092,938.6878573477916,132.95854295619532,100
historical_tod_mean,4.040889375381562,6.895246896180115,0.093039273726848,PeMS7_228,0.2,46,182,random,15,25,2151,,,,,100
neighbor_average,7.2394555097680096,11.465928067285834,0.1851680810000586,PeMS7_228,0.2,46,182,random,15,25,2151,,,,,100
gsp,3.775604294671819,6.536228817785255,0.0897990555182474,PeMS7_228,0.2,46,182,random,15,25,2151,,16.41979299610864,97.29596043847968,662.9975915687731,100
gls_map,3.4678190205868176,5.970217327813464,0.081322487411432,PeMS7_228,0.2,46,182,random,15,25,2151,,305.53639744483905,1067.1641132267362,131.9670529490176,100
historical_tod_mean,4.0772447344322345,6.972124428991675,0.0932317266960059,PeMS7_228,0.2,46,182,random,16,25,2151,,,,,100
neighbor_average,7.466458078958078,11.58049985309841,0.1826058793732783,PeMS7_228,0.2,46,182,random,16,25,2151,,,,,100
gsp,3.782339011497526,6.582990304344895,0.0897077541302047,PeMS7_228,0.2,46,182,random,16,25,2151,,16.421295378994163,97.19728905281497,662.9451227077855,100
gls_map,3.530789546228012,6.079507341070106,0.0839730395423022,PeMS7_228,0.2,46,182,random,16,25,2151,,297.10968293766194,907.3562866715412,133.63809303527933,100
historical_tod_mean,3.937378901480464,6.831642267182499,0.0912826439038572,PeMS7_228,0.2,46,182,random,17,25,2151,,,,,100
neighbor_average,7.314253917378918,11.35454486736302,0.1741801483550522,PeMS7_228,0.2,46,182,random,17,25,2151,,,,,100
gsp,3.67637273616606,6.45006652970123,0.0889339946011568,PeMS7_228,0.2,46,182,random,17,25,2151,,16.417684968537834,96.75634256635648,662.9764490704648,100
gls_map,3.4032842701133026,5.877814105677874,0.0808706183162011,PeMS7_228,0.2,46,182,random,17,25,2151,,298.1673417469604,984.9854270391552,131.85563391203183,100
historical_tod_mean,4.013199213980464,6.97715075248564,0.0930917988304644,PeMS7_228,0.2,46,182,random,18,25,2151,,,,,100
neighbor_average,7.522950689356939,11.79094776904778,0.1827886456347403,PeMS7_228,0.2,46,182,random,18,25,2151,,,,,100
gsp,3.7432232161045302,6.580192329015019,0.0908701749901891,PeMS7_228,0.2,46,182,random,18,25,2151,,16.418538864272143,97.36573857240003,662.9685431193141,100
gls_map,3.3578903641795064,5.910865904300349,0.0803960482846718,PeMS7_228,0.2,46,182,random,18,25,2151,,306.72451732705065,940.4080538685748,130.63595168276532,100
historical_tod_mean,3.940523742750305,6.75867459726378,0.0888832809895886,PeMS7_228,0.2,46,182,random,19,25,2151,,,,,100
neighbor_average,7.476518938237687,11.66866124558837,0.1824204603290957,PeMS7_228,0.2,46,182,random,19,25,2151,,,,,100
gsp,3.829876628150982,6.474300399942916,0.0868155388345787,PeMS7_228,0.2,46,182,random,19,25,2151,,16.421963916153253,97.14071946075298,662.9363631083336,100
gls_map,3.4540677576808467,5.834514017083858,0.0783124076630633,PeMS7_228,0.2,46,182,random,19,25,2151,,284.13701795000514,895.3236545237392,136.00348480046978,100
historical_tod_mean,4.115986053876679,7.070164043943959,0.0964084373578697,PeMS7_228,0.2,46,182,random,20,25,2151,,,,,100
neighbor_average,7.109327622608872,11.325585066222253,0.1911382380570033,PeMS7_228,0.2,46,182,random,20,25,2151,,,,,100
gsp,3.8253906944043568,6.668782785914647,0.0935162966148987,PeMS7_228,0.2,46,182,random,20,25,2151,,16.419989021999285,97.19183708503508,662.9521425484004,100
gls_map,3.490220987822615,6.07700979049624,0.0851714412499444,PeMS7_228,0.2,46,182,random,20,25,2151,,294.6458171525835,1268.3676059235206,135.57083576299405,100
historical_tod_mean,3.931603470314408,6.747913617956172,0.0901793729877594,PeMS7_228,0.2,46,182,random,21,25,2151,,,,,100
neighbor_average,7.269113438644688,11.387493932873994,0.1693157632497264,PeMS7_228,0.2,46,182,random,21,25,2151,,,,,100
gsp,3.651634997612867,6.374705588419716,0.0857526569407097,PeMS7_228,0.2,46,182,random,21,25,2151,,16.41797143204462,94.97598489109669,663.0056168813273,100
gls_map,3.4521162745049168,5.934937840198114,0.0807188607673625,PeMS7_228,0.2,46,182,random,21,25,2151,,317.5157742248372,1374.3291673908673,129.78892823644208,100
historical_tod_mean,4.013209277701466,6.95672160565131,0.0930787514902858,PeMS7_228,0.2,46,182,random,22,25,2151,,,,,100
neighbor_average,7.143522016178265,10.828052839715506,0.1777120734775051,PeMS7_228,0.2,46,182,random,22,25,2151,,,,,100
gsp,3.806549773972453,6.5855909378904665,0.0905563962233948,PeMS7_228,0.2,46,182,random,22,25,2151,,16.419395701737663,96.78551208793388,662.9884982382679,100
gls_map,3.462866365505453,5.948839336367394,0.0822420269150315,PeMS7_228,0.2,46,182,random,22,25,2151,,297.56197291034584,999.6432408977146,131.84531967820504,100
historical_tod_mean,4.011107247786936,6.931393561994718,0.0918633540050807,PeMS7_228,0.2,46,182,random,23,25,2151,,,,,100
neighbor_average,7.461536235754985,11.510517890307534,0.1804820271127273,PeMS7_228,0.2,46,182,random,23,25,2151,,,,,100
gsp,3.8341723818599327,6.581537692528184,0.0897087635390834,PeMS7_228,0.2,46,182,random,23,25,2151,,16.421432030322052,97.1825450575896,662.9522984847715,100
gls_map,3.478678092614477,6.004783232115148,0.0802888604702705,PeMS7_228,0.2,46,182,random,23,25,2151,,305.25107233603114,995.3935739609354,130.21176735624243,100
historical_tod_mean,3.950649801587301,6.828000950160942,0.0928939089771659,PeMS7_228,0.2,46,182,random,24,25,2151,,,,,100
neighbor_average,7.212142920736669,11.40976137566232,0.1853187200637334,PeMS7_228,0.2,46,182,random,24,25,2151,,,,,100
gsp,3.6604100920223943,6.458346989839174,0.0907299152349201,PeMS7_228,0.2,46,182,random,24,25,2151,,16.41763319172544,97.21665113215175,662.987222989555,100
gls_map,3.362104962897517,5.916695433711364,0.0826434220264414,PeMS7_228,0.2,46,182,random,24,25,2151,,300.64398932393533,1002.0177724772484,132.12336261201662,100
historical_tod_mean,3.926991901327839,6.763952624413579,0.0913804198156339,PeMS7_228,0.2,46,182,random,25,25,2151,,,,,100
neighbor_average,6.9808967363654855,10.988400291868784,0.1736890670467197,PeMS7_228,0.2,46,182,random,25,25,2151,,,,,100
gsp,3.699082748284999,6.421160112748529,0.088761635579883,PeMS7_228,0.2,46,182,random,25,25,2151,,16.41711443149983,97.22172032924068,663.0207167002368,100
gls_map,3.4071608394169632,5.928721471820364,0.0814651455670237,PeMS7_228,0.2,46,182,random,25,25,2151,,296.2912123362938,1029.913901173611,134.57236487211654,100
historical_tod_mean,3.930188587454212,6.777755312931709,0.090411874719113,PeMS7_228,0.2,46,182,random,26,25,2151,,,,,100
neighbor_average,7.092172873422873,11.10539971303406,0.1716996874438395,PeMS7_228,0.2,46,182,random,26,25,2151,,,,,100
gsp,3.694060642292481,6.428917520323235,0.0881488709426292,PeMS7_228,0.2,46,182,random,26,25,2151,,16.416453354476985,96.41440751909953,663.001019556374,100
gls_map,3.3939952271951506,5.997128729217461,0.0812851609656997,PeMS7_228,0.2,46,182,random,26,25,2151,,307.61718398325525,1055.2720277629876,129.91047253254027,100
historical_tod_mean,3.857265386523199,6.619314671268578,0.0881701517096649,PeMS7_228,0.2,46,182,random,27,25,2151,,,,,100
neighbor_average,7.372163079975579,11.25894902229286,0.1774415232714292,PeMS7_228,0.2,46,182,random,27,25,2151,,,,,100
gsp,3.609662629851688,6.237501865507145,0.084699490312714,PeMS7_228,0.2,46,182,random,27,25,2151,,16.42163118009337,96.257175980022,662.9490616595408,100
gls_map,3.3529375118410765,5.659917610680878,0.0781303578216792,PeMS7_228,0.2,46,182,random,27,25,2151,,300.17697019579737,877.3401551811555,132.0150526746557,100
historical_tod_mean,3.962885426205738,6.803466031900093,0.0895008526223378,PeMS7_228,0.2,46,182,random,28,25,2151,,,,,100
neighbor_average,7.156498651811152,11.09348278405623,0.1719756226295324,PeMS7_228,0.2,46,182,random,28,25,2151,,,,,100
gsp,3.782165719293175,6.464945499479901,0.0859323295795748,PeMS7_228,0.2,46,182,random,28,25,2151,,16.421178175800517,96.0794134631346,662.9650385944867,100
gls_map,3.40790008402042,5.806775071943226,0.0770765040227041,PeMS7_228,0.2,46,182,random,28,25,2151,,302.6231981221887,1122.821144142118,131.4590694847038,100
historical_tod_mean,3.839201055021368,6.646850504999174,0.0894895982662161,PeMS7_228,0.2,46,182,random,29,25,2151,,,,,100
neighbor_average,7.708529838217338,11.885099908627094,0.1841552062299359,PeMS7_228,0.2,46,182,random,29,25,2151,,,,,100
gsp,3.6769600742242425,6.35854555324391,0.0898376118914388,PeMS7_228,0.2,46,182,random,29,25,2151,,16.421844016117916,96.76785748307822,662.9542268008571,100
gls_map,3.422403652517817,5.902566296001657,0.0841044755984005,PeMS7_228,0.2,46,182,random,29,25,2151,,302.43103701489,932.8840213115892,131.4974684333618,100
historical_tod_mean,4.111756906288157,7.076894288781075,0.0965506730727223,PeMS7_228,0.2,46,182,random,30,25,2151,,,,,100
neighbor_average,7.2218864468864465,11.26064163685928,0.192363475788297,PeMS7_228,0.2,46,182,random,30,25,2151,,,,,100
gsp,3.88562821243052,6.703468322212142,0.0946292295696921,PeMS7_228,0.2,46,182,random,30,25,2151,,16.428192545462267,96.936464892323,662.86724985876,100
gls_map,3.666486931345715,6.296344281848797,0.088989332927845,PeMS7_228,0.2,46,182,random,30,25,2151,,301.9968374251962,925.7321153947044,132.3596392641354,100
historical_tod_mean,3.950599292200855,6.856778519298108,0.0910349938493626,PeMS7_228,0.2,46,182,random,31,25,2151,,,,,100
neighbor_average,7.105488464082214,11.081955445634735,0.1729097956281125,PeMS7_228,0.2,46,182,random,31,25,2151,,,,,100
gsp,3.70066184993411,6.456253893822037,0.0877999075678241,PeMS7_228,0.2,46,182,random,31,25,2151,,16.41648093213512,97.2193322933688,663.0069163924554,100
gls_map,3.461999245781028,5.926607243881705,0.0804385557167488,PeMS7_228,0.2,46,182,random,31,25,2151,,295.8681712175645,857.2665538757819,132.343310570296,100
historical_tod_mean,4.017857905982906,6.883013408184485,0.0923593881509079,PeMS7_228,0.2,46,182,random,32,25,2151,,,,,100
neighbor_average,7.156132033475783,11.072605889688136,0.1725378223910825,PeMS7_228,0.2,46,182,random,32,25,2151,,,,,100
gsp,3.75809988126092,6.493660254660282,0.0899647637339237,PeMS7_228,0.2,46,182,random,32,25,2151,,16.417919411542822,97.15752176602206,662.9790587362141,100
gls_map,3.4076688695386075,5.902672239215802,0.0823349001555488,PeMS7_228,0.2,46,182,random,32,25,2151,,300.8019888326061,1052.675496982799,132.1430730172933,100
historical_tod_mean,3.9204227239774103,6.797731416562137,0.0909303725112211,PeMS7_228,0.2,46,182,random,33,25,2151,,,,,100
neighbor_average,7.198419375763127,11.228812471147297,0.1786517897038836,PeMS7_228,0.2,46,182,random,33,25,2151,,,,,100
gsp,3.647611411947509,6.410312179937368,0.0878435701744908,PeMS7_228,0.2,46,182,random,33,25,2151,,16.4173193081711,97.20378173666973,662.9911579769324,100
gls_map,3.395306157205307,5.813265209004276,0.0796351343950214,PeMS7_228,0.2,46,182,random,33,25,2151,,298.81560872459283,934.9399590190976,132.26910412216094,100
